"id","lot","portails_candidats","routes","ecrans_ids","formulaire_id","composant","champ_ui","identifiant_DOM_baseline","cle_etat","origine","controle","condition_visibilite","objet_API_baseline","objet_API_candidat","table_colonne_expression","type_contraintes","valeur_initiale_normalisation","lecture_ecriture","rendu_detail_liste","ecart_baseline","restriction","sources_UI","sources_persistance","scenario_attendu","statut_revue","statut_saisie_ui","statut_persistance","statut_audit","version_observee","version_correction","preuve"
"CLI-BANQUE-001","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-3b57c7a1b9b7","src/components/customers/BankAccountForm.tsx","Pays de la banque","Pas de id/htmlFor métier explicite","banks[index].country","UTILISATEUR","liste COUNTRIES","Compte déplié; disabled si readOnly","banquesAInserer[index].country","save_customer_dossier.p_banks[index].country","public.customer_banks.country","Requis pour chaque banque; valeur par défaut Burkina Faso","Valeur liste; candidat trim","SELECT banques actives → formulaire; delete+insert baseline; fusion/désactivation candidate","Aucune banque affichée ni chargée par CustomerProfile baseline; détail complet à contrôler après correction","Changement de pays ne nettoie pas bankName baseline; vérifier conservation explicite ou sélection cohérente","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/components/customers/BankAccountForm.tsx:268","83f8c74e:src/pages/customers/CustomerForm.tsx:221 | 83f8c74e:src/types/database.ts:1125 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:185","CLI-UI-001/002/004/005/007 : deux banques, changement principal, banque libre, relecture identifiants et valeurs","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-BANQUE-002","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-3b57c7a1b9b7","src/components/customers/BankAccountForm.tsx","Ville de la banque","Pas de id/htmlFor métier explicite","banks[index].city","UTILISATEUR","texte","Compte déplié; disabled si readOnly","banquesAInserer[index].city","save_customer_dossier.p_banks[index].city","public.customer_banks.city","Requis pour chaque banque","trim","SELECT banques actives → formulaire; delete+insert baseline; fusion/désactivation candidate","Aucune banque affichée ni chargée par CustomerProfile baseline; détail complet à contrôler après correction","Aucun message de validation par champ bancaire baseline; erreur globale seulement","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/components/customers/BankAccountForm.tsx:288","83f8c74e:src/pages/customers/CustomerForm.tsx:221 | 83f8c74e:src/types/database.ts:1125 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:185","CLI-UI-001/002/004/005/007 : deux banques, changement principal, banque libre, relecture identifiants et valeurs","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-BANQUE-003","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-3b57c7a1b9b7","src/components/customers/BankAccountForm.tsx","Nom de la banque","Pas de id/htmlFor métier explicite","banks[index].bankName","UTILISATEUR","liste BF/CI/Guinée ou texte pour autres pays","Compte déplié; disabled si readOnly","banquesAInserer[index].bank_name","save_customer_dossier.p_banks[index].bank_name","public.customer_banks.bank_name","Requis pour chaque banque; sentinel __other__ non métier","trim","SELECT banques actives → formulaire; delete+insert baseline; fusion/désactivation candidate","Aucune banque affichée ni chargée par CustomerProfile baseline; détail complet à contrôler après correction","Choix Autre disparaît dès la première lettre (value vide puis champ conditionnel bankName===__other__); sentinel exclu silencieusement du payload baseline","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/components/customers/BankAccountForm.tsx:305","83f8c74e:src/pages/customers/CustomerForm.tsx:221 | 83f8c74e:src/types/database.ts:1125 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:185","CLI-UI-001/002/004/005/007 : deux banques, changement principal, banque libre, relecture identifiants et valeurs","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-BANQUE-004","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-3b57c7a1b9b7","src/components/customers/BankAccountForm.tsx","Devise","Pas de id/htmlFor métier explicite","banks[index].currency","UTILISATEUR","liste USD/EUR/GBP/CHF/GNF/XOF/XAF","Compte déplié; disabled si readOnly","banquesAInserer[index].currency","save_customer_dossier.p_banks[index].currency","public.customer_banks.currency","Requis; valeur par défaut XOF","Valeur liste; candidat trim","SELECT banques actives → formulaire; delete+insert baseline; fusion/désactivation candidate","Aucune banque affichée ni chargée par CustomerProfile baseline; détail complet à contrôler après correction","Pas de nouvelle devise ni conversion à inventer","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/components/customers/BankAccountForm.tsx:347","83f8c74e:src/pages/customers/CustomerForm.tsx:221 | 83f8c74e:src/types/database.ts:1125 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:185","CLI-UI-001/002/004/005/007 : deux banques, changement principal, banque libre, relecture identifiants et valeurs","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-BANQUE-005","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-3b57c7a1b9b7","src/components/customers/BankAccountForm.tsx","Numéro de compte","Pas de id/htmlFor métier explicite","banks[index].accountNumber","UTILISATEUR","texte","Compte déplié; disabled si readOnly","banquesAInserer[index].account_number","save_customer_dossier.p_banks[index].account_number","public.customer_banks.account_number","Facultatif; nullable SQL","trim ou null","SELECT banques actives → formulaire; delete+insert baseline; fusion/désactivation candidate","Aucune banque affichée ni chargée par CustomerProfile baseline; détail complet à contrôler après correction","Préserver les zéros initiaux; aucun contrôle numérique à imposer","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/components/customers/BankAccountForm.tsx:369","83f8c74e:src/pages/customers/CustomerForm.tsx:221 | 83f8c74e:src/types/database.ts:1125 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:185","CLI-UI-001/002/004/005/007 : deux banques, changement principal, banque libre, relecture identifiants et valeurs","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-BANQUE-006","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-3b57c7a1b9b7","src/components/customers/BankAccountForm.tsx","IBAN","Pas de id/htmlFor métier explicite","banks[index].iban","UTILISATEUR","texte","Compte déplié; disabled si readOnly","banquesAInserer[index].iban","save_customer_dossier.p_banks[index].iban","public.customer_banks.iban","Facultatif; nullable SQL; aucune validation de checksum actuelle","Majuscules à la saisie; trim ou null","SELECT banques actives → formulaire; delete+insert baseline; fusion/désactivation candidate","Aucune banque affichée ni chargée par CustomerProfile baseline; détail complet à contrôler après correction","Aucun format IBAN national nouveau à imposer; valeur complète à relire","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/components/customers/BankAccountForm.tsx:383","83f8c74e:src/pages/customers/CustomerForm.tsx:221 | 83f8c74e:src/types/database.ts:1125 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:185","CLI-UI-001/002/004/005/007 : deux banques, changement principal, banque libre, relecture identifiants et valeurs","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-BANQUE-007","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-3b57c7a1b9b7","src/components/customers/BankAccountForm.tsx","Code SWIFT/BIC","Pas de id/htmlFor métier explicite","banks[index].swiftCode","UTILISATEUR","texte","Compte déplié; disabled si readOnly","banquesAInserer[index].swift_code","save_customer_dossier.p_banks[index].swift_code","public.customer_banks.swift_code","Facultatif; nullable SQL","Majuscules à la saisie; trim ou null","SELECT banques actives → formulaire; delete+insert baseline; fusion/désactivation candidate","Aucune banque affichée ni chargée par CustomerProfile baseline; détail complet à contrôler après correction","Ne pas introduire de règle de longueur non prévue; vérifier conservation","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/components/customers/BankAccountForm.tsx:398","83f8c74e:src/pages/customers/CustomerForm.tsx:221 | 83f8c74e:src/types/database.ts:1125 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:185","CLI-UI-001/002/004/005/007 : deux banques, changement principal, banque libre, relecture identifiants et valeurs","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-BANQUE-008","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-3b57c7a1b9b7","src/components/customers/BankAccountForm.tsx","Définir comme compte bancaire principal","primary-${index}","banks[index].isPrimary","UTILISATEUR","case à cocher","Compte déplié et !readOnly","banquesAInserer[index].is_primary","save_customer_dossier.p_banks[index].is_primary","public.customer_banks.is_primary","Premier compte initialement principal; sélection exclusive dans UI; candidat au plus un principal","Booléen; true désactive les autres; retrait principal transfère au premier restant","SELECT banques actives → formulaire; delete+insert baseline; fusion/désactivation candidate","Aucune banque affichée ni chargée par CustomerProfile baseline; détail complet à contrôler après correction","UI permet zéro principal après décochage; ne pas transformer « au plus un » en « exactement un » sans règle","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/components/customers/BankAccountForm.tsx:412","83f8c74e:src/pages/customers/CustomerForm.tsx:221 | 83f8c74e:src/types/database.ts:1125 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:185","CLI-UI-001/002/004/005/007 : deux banques, changement principal, banque libre, relecture identifiants et valeurs","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-BANQUE-009","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-3b57c7a1b9b7","src/components/customers/BankAccountForm.tsx","Autre banque : saisie du nom","placeholder Saisissez le nom de la banque; pas de label propre","banks[index].bankName (même donnée que CLI-BANQUE-003)","UTILISATEUR_VARIANTE","texte conditionnel","bank.bankName === '__other__'","bank_name; le sentinel est filtré","p_banks[index].bank_name, rejet serveur de __other__","public.customer_banks.bank_name","Même champ métier, ne pas compter comme neuvième donnée bancaire saisissable","value="""" dans la baseline","Doit rester saisissable jusqu’au nom complet et se réouvrir à la modification","Aucun rendu bancaire baseline","La condition devient fausse à la première lettre; perte du contrôle de saisie","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/components/customers/BankAccountForm.tsx:329","83f8c74e:src/pages/customers/CustomerForm.tsx:222 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:114","CLI-UI-005 : nom libre complet, pays avec liste puis sans liste, enregistrer/recharger/modifier","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-SYSTEME-001","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-d203fedbc345 | FRM-3b57c7a1b9b7","src/pages/customers/CustomerForm.tsx | src/components/customers/BankAccountForm.tsx","Identifiant client","NON_SAISI","customer.id","SYSTÈME","Aucun nouveau champ UI à créer","Métadonnée / collection / relation","customerId après insert puis customer_banks.customer_id","RPC retourne uuid; pas de saisie utilisateur","customers.id","UUID serveur; URL :id en modification","Voir origine et sources; aucun choix tenant utilisateur","customerId après insert puis customer_banks.customer_id","À contrôler selon valeur utile; pas d’invention de champ","ID nouveau doit être conservé dans toutes les preuves","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/pages/customers/CustomerForm.tsx:259","83f8c74e:src/types/database.ts:1125 | 83f8c74e:src/types/database.ts:1345 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:40","CLI-UI-001/002/007/010 : vérifier IDs, FK, valeurs conservées, dates, transaction","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-SYSTEME-002","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-d203fedbc345 | FRM-3b57c7a1b9b7","src/pages/customers/CustomerForm.tsx | src/components/customers/BankAccountForm.tsx","Dernière modification","NON_SAISI","customer.updated_at","SYSTÈME","Aucun nouveau champ UI à créer","Métadonnée / collection / relation","new Date().toISOString() dans update baseline","statement_timestamp() dans RPC candidate","customers.updated_at","Horodatage","Voir origine et sources; aucun choix tenant utilisateur","new Date().toISOString() dans update baseline","À contrôler selon valeur utile; pas d’invention de champ","Horloge serveur candidate; aucun champ de formulaire","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/pages/customers/CustomerForm.tsx:240","83f8c74e:src/types/database.ts:1125 | 83f8c74e:src/types/database.ts:1345 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:40","CLI-UI-001/002/007/010 : vérifier IDs, FK, valeurs conservées, dates, transaction","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-SYSTEME-003","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-d203fedbc345 | FRM-3b57c7a1b9b7","src/pages/customers/CustomerForm.tsx | src/components/customers/BankAccountForm.tsx","Date d’enregistrement","NON_SAISI","customer.created_at","SYSTÈME","Aucun nouveau champ UI à créer","Métadonnée / collection / relation","DB par défaut; lu registeredDate","Création inchangée lors des updates","customers.created_at","Horodatage nullable","Voir origine et sources; aucun choix tenant utilisateur","DB par défaut; lu registeredDate","À contrôler selon valeur utile; pas d’invention de champ","Détail charge registeredDate mais ne l’affiche pas baseline","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/pages/customers/CustomerProfile.tsx:156","83f8c74e:src/types/database.ts:1125 | 83f8c74e:src/types/database.ts:1345 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:40","CLI-UI-001/002/007/010 : vérifier IDs, FK, valeurs conservées, dates, transaction","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-SYSTEME-004","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-d203fedbc345 | FRM-3b57c7a1b9b7","src/pages/customers/CustomerForm.tsx | src/components/customers/BankAccountForm.tsx","Colonne company","NON_SAISI","customer.company","NON_SAISI_EXISTANT","Aucun nouveau champ UI à créer","Métadonnée / collection / relation","Aucune écriture dans CustomerForm","RPC ne doit pas écraser cette colonne","customers.company","Texte nullable","Voir origine et sources; aucun choix tenant utilisateur","Aucune écriture dans CustomerForm","À contrôler selon valeur utile; pas d’invention de champ","Ne pas ajouter une seconde raison sociale parce que la colonne existe","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/types/database.ts:1202","83f8c74e:src/types/database.ts:1125 | 83f8c74e:src/types/database.ts:1345 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:40","CLI-UI-001/002/007/010 : vérifier IDs, FK, valeurs conservées, dates, transaction","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-SYSTEME-005","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-d203fedbc345 | FRM-3b57c7a1b9b7","src/pages/customers/CustomerForm.tsx | src/components/customers/BankAccountForm.tsx","Colonne is_active","NON_SAISI","customer.is_active","NON_SAISI_EXISTANT","Aucun nouveau champ UI à créer","Métadonnée / collection / relation","Aucune écriture dans CustomerForm","RPC ne doit pas assimiler arbitrairement cette colonne au statut","customers.is_active","Booléen nullable","Voir origine et sources; aucun choix tenant utilisateur","Aucune écriture dans CustomerForm","À contrôler selon valeur utile; pas d’invention de champ","Utilisée par des workflows de vente; divergence status/is_active à arbitrer uniquement si contrat contradictoire","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/types/database.ts:1345","83f8c74e:src/types/database.ts:1125 | 83f8c74e:src/types/database.ts:1345 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:40","CLI-UI-001/002/007/010 : vérifier IDs, FK, valeurs conservées, dates, transaction","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-SYSTEME-006","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-d203fedbc345 | FRM-3b57c7a1b9b7","src/pages/customers/CustomerForm.tsx | src/components/customers/BankAccountForm.tsx","Collection comptes bancaires","NON_SAISI","banks","SOUS_COLLECTION","Aucun nouveau champ UI à créer","Métadonnée / collection / relation","banques actives seulement; baseline delete toutes puis insert","Fusion par id; banques omises désactivées, sans suppression historique","customer_banks.customer_id → customers.id","Relation 1 client : 0..N banques","Voir origine et sources; aucun choix tenant utilisateur","banques actives seulement; baseline delete toutes puis insert","À contrôler selon valeur utile; pas d’invention de champ","UI recommande au moins un compte mais validation permet zéro; ne pas inventer obligation sans règle","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/pages/customers/CustomerForm.tsx:92","83f8c74e:src/types/database.ts:1125 | 83f8c74e:src/types/database.ts:1345 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:40","CLI-UI-001/002/007/010 : vérifier IDs, FK, valeurs conservées, dates, transaction","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-SYSTEME-007","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-d203fedbc345 | FRM-3b57c7a1b9b7","src/pages/customers/CustomerForm.tsx | src/components/customers/BankAccountForm.tsx","Identifiant bancaire","NON_SAISI","bank.id","SYSTÈME","Aucun nouveau champ UI à créer","Métadonnée / collection / relation","Chargé mais non réutilisé par insert baseline","p_banks[index].id conservé; ownership du parent vérifié","customer_banks.id","UUID serveur; identité stable","Voir origine et sources; aucun choix tenant utilisateur","Chargé mais non réutilisé par insert baseline","À contrôler selon valeur utile; pas d’invention de champ","Paiements et préventes référencent cet ID; delete/recreate rompt la continuité","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/pages/customers/CustomerForm.tsx:99","83f8c74e:src/types/database.ts:1125 | 83f8c74e:src/types/database.ts:1345 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:40","CLI-UI-001/002/007/010 : vérifier IDs, FK, valeurs conservées, dates, transaction","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
