"id","portail","profil_role","contexte","compte_resolu","organisation","route","module","roles_registre","types_registre","capacites_registre_OR","lecture_seule_registre","national_registre","gardes_route_JSX","resultat_fonction_pure","statut_controle_serveur","statut_test_interface","statut_audit","preuve","sources","limite","baseline","version_source"
"DRT-0042177efe1b","POR-factory","factory","CAPACITES_EXPLICITES_COMPLETES","factory","sonasp","/production/daily","production","customer | dgi | dgmg | factory | management | mine","dgi | dgmg | factory | mine | sonasp","dgi.fiscal.control | dgmg.supervise | factory.operate | mine.operate | reports.read | sonasp.prepare | sonasp.workflow.read","false","false","<ProtectedRoute allowedRoles={['factory', 'management', 'mine', 'dgmg', 'dgi']}>","ADMIS_PAR_REGISTRE_FRONTEND","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:974 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-00429b28a6c0","POR-direction","manager","TENANT_MINE_INCOHERENT","unknown","sonasp","/sales/simulations","international_markets","customer | management | mine","mine | sonasp","mine.operate | sonasp.prepare","false","false","<ProtectedRoute requiredPermission={PERMISSIONS.SALES_CREATE}>","REFUSE:unknown-profile","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:1460 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-004d78cec5c1","POR-airport","airport","CAPACITES_EXPLICITES_COMPLETES","airport","sonasp","/dashboard/factory","dashboard","factory","factory","factory.operate","true","false","<ProtectedRoute allowedRoles={['factory']}>","REFUSE:role","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:1806 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-004e7518ab07","POR-dgmg","dgmg","MODULES_EXPLICITES_VIDES","dgmg","dgmg","/portail-mine","portal-mine","customer | mine","mine","mine.operate","false","false","<MinePortalGuard> | <ProtectedRoute>","REFUSE:role","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:400 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-004fe6c09102","POR-comptoir","comptoir","CAPACITES_EXPLICITES_VIDES","unknown","comptoir","/admin/settings","administration","admin | management","admin | sonasp","","true","true","<ProtectedRoute requiredPermission={PERMISSIONS.SETTINGS_VIEW}>","REFUSE:unknown-profile","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:1098 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-005576bdc636","POR-admin","admin","CAPACITES_EXPLICITES_COMPLETES","admin","sonasp","/portail-comptoir","portal-comptoir","comptoir | customer","comptoir","comptoir.manage","false","false","<ComptoirPortalGuard> | <ProtectedRoute>","REFUSE:role","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:362 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-005bc7143b77","POR-customer","customer","TENANT_MINE_INCOHERENT","mine","sonasp","/artisan-sites/production","mining_sites","dgmg | management","dgmg | sonasp","","true","false","<ProtectedRoute allowedRoles={['management', 'dgmg']}>","REFUSE:role","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:772 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-006304bc8c26","POR-airport","airport","CAPACITES_EXPLICITES_COMPLETES","airport","sonasp","/payments/record","sales","customer | management","customer | sonasp","","false","false","<ProtectedRoute>","REFUSE:role","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:1572 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-0064c70ae7fd","POR-admin","admin","CAPACITES_EXPLICITES_COMPLETES","admin","sonasp","/freight/shipments/:id","shipping","airport | customer | factory | management | mine","airport | factory | mine | sonasp","","true","false","<ProtectedRoute>","ADMIS_PAR_REGISTRE_FRONTEND","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:1338 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-0066d3ab1067","POR-factory","factory","MODULES_EXPLICITES_VIDES","factory","sonasp","/performance/budgets","production","customer | management | mine","mine | sonasp","mine.operate | sonasp.prepare | sonasp.workflow.read","false","false","<ProtectedRoute allowedRoles={['management', 'mine']}>","REFUSE:role","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:1004 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-00693a0a9f9a","POR-customer","customer","CAPACITES_EXPLICITES_COMPLETES","collector","sonasp","/sales/new","sales","customer | management | mine","mine | sonasp","mine.operate | sonasp.prepare","false","false","<ProtectedRoute requiredPermission={PERMISSIONS.SALES_CREATE}>","REFUSE:account-type","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:1442 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-006c9e7ac9c5","POR-customer","customer","TENANT_MINE_INCOHERENT","mine","sonasp","/freight-customs/:id","shipping","airport | customer | management | mine","airport | mine | sonasp","","true","false","<ProtectedRoute>","ADMIS_PAR_REGISTRE_FRONTEND","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:1365 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-00736a53afab","POR-dgi","dgi","MODULES_EXPLICITES_VIDES","dgi","dgi","/admin/audit","administration","admin | owner","admin | owner","reports.read","true","true","<ProtectedRoute requiredPermission={PERMISSIONS.AUDIT_VIEW}>","REFUSE:module","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:1230 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-00795dfebf18","POR-owner","owner","MODULES_EXPLICITES_VIDES","owner","sonasp","/freight/shipments/:id","shipping","airport | customer | factory | management | mine","airport | factory | mine | sonasp","","true","false","<ProtectedRoute>","ADMIS_PAR_REGISTRE_FRONTEND","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:1338 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-007c2b97c7c8","POR-owner","owner","CAPACITES_EXPLICITES_VIDES","owner","sonasp","/approvals","public-et-alias","management","sonasp","sonasp.approve","false","true","<ProtectedRoute allowedRoles={['management']}>","ADMIS_PAR_REGISTRE_FRONTEND","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:1107 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-007c2d100a9f","POR-sonasp","management","CAPACITES_EXPLICITES_VIDES","sonasp","sonasp","/stakeholders/organizations/:id/edit","stakeholders","admin | dgmg | management | owner","admin | dgmg | owner | sonasp","dgmg.supervise | referentials.manage","false","false","<OrganizationRegistryRoute>","REFUSE:capability","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:1707 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-008253002a00","POR-mine","mine","TENANT_MINE_INCOHERENT","unknown","sonasp","/sales/simulator","international_markets","customer | management | mine","mine | sonasp","mine.operate | sonasp.prepare","false","false","<ProtectedRoute requiredPermission={PERMISSIONS.SALES_CREATE}>","REFUSE:unknown-profile","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:1451 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-0085ff993d8f","POR-refinery","refinery","CAPACITES_EXPLICITES_COMPLETES","refinery","sonasp","/stakeholders/approvers","stakeholders","admin | owner","admin | owner","accounts.manage","false","true","<ProtectedRoute requiredPermission={PERMISSIONS.USERS_MANAGE} requiredSensitiveCapability={CAPABILITIES.ACCOUNTS_MANAGE}>","REFUSE:role","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:1752 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-008b5f3ff093","POR-factory","factory","MODULES_EXPLICITES_VIDES","factory","sonasp","/freight/shipments/create","shipping","airport | customer | factory | management | mine","airport | factory | mine | sonasp","","false","false","<ProtectedRoute>","ADMIS_PAR_REGISTRE_FRONTEND","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:1329 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-008d17da4811","POR-collector","collector","CAPACITES_EXPLICITES_VIDES","unknown","sonasp","/contrats","gold_purchases","customer | management | mine","mine | sonasp","mine.operate | sonasp.approve | sonasp.finance.execute | sonasp.finance.reconcile | sonasp.prepare | sonasp.workflow.read","true","false","<ProtectedRoute allowedRoles={['management', 'mine']} requiredAnyCapabilities={MINE_RELATION_READ_CAPABILITIES} >","REFUSE:unknown-profile","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:873 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-008f7c58487f","POR-airport","airport","MODULES_EXPLICITES_VIDES","airport","sonasp","/artisan-minier/ventes-or/nouvelle","artisan_gold_market","customer | management","comptoir | sonasp","","false","false","<ProtectedRoute>","REFUSE:role","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:501 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-009072ce6777","POR-direction","manager","PROFIL_INACTIF","unknown","sonasp","/admin/workflow","settings","management","sonasp","sonasp.workflow.read","true","true","<ProtectedRoute allowedRoles={['management']}>","REFUSE:unknown-profile","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:1170 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-00929c1d05cd","POR-comptoir","comptoir","CAPACITES_EXPLICITES_COMPLETES","comptoir","comptoir","/national-reserve/allocations/:id/edit","national_reserve","management","sonasp","","false","true","<ProtectedRoute allowedRoles={['management']}>","REFUSE:role","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:726 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-009e92c13b9b","POR-comptoir","comptoir","CAPACITES_EXPLICITES_COMPLETES","comptoir","comptoir","/artisan-minier/liste","artisan-minier","customer | dgmg | management","collector | comptoir | dgmg | sonasp","","true","false","<ProtectedRoute>","REFUSE:role","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:438 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-00a4ab72a124","POR-dgmg","dgmg","MODULES_EXPLICITES_VIDES","dgmg","dgmg","/portail-comptoir","portal-comptoir","comptoir | customer","comptoir","comptoir.manage","false","false","<ComptoirPortalGuard> | <ProtectedRoute>","REFUSE:role","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:362 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
