"id","formulaire","champ","nature","variante","libelle","controle_id","obligation_enregistrement","payload","rpc_service","stockage","transformation_relation","restitution_detail","ecart_detail","source_ui_candidat","source_payload_candidat","source_stockage_candidat","source_detail_candidat","statut","source_baseline","source_version_candidat","candidate_commit"
"MAP-SITE-activeMiners","SITE","activeMiners","SAISIE_METIER","Création et modification","Artisans actifs","Sans id explicite ; label englobant","Requis ; entier >= 0 et <= autorisés","p_site.active_miners","snp_save_artisanal_site","artisanal_sites.active_miners","","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:621","src/services/artisanalSiteService.ts:159","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:111","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:69","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:621 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-averageHoleDepthMeters","SITE","averageHoleDepthMeters","SAISIE_METIER","Création et modification","Profondeur moyenne (m)","Sans id explicite ; label englobant","Requis ; >= 0","p_site.average_hole_depth_m","snp_save_artisanal_site","artisanal_sites.average_hole_depth_m","","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:624","src/services/artisanalSiteService.ts:160","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:111","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:81","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:624 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-authorizedChemicals","SITE","authorizedChemicals","SAISIE_METIER","Création et modification","Produits chimiques autorisés","Sans id explicite ; label englobant","Facultatif ; cases existantes","p_site.authorized_chemicals","snp_save_artisanal_site","artisanal_sites.authorized_chemicals","","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:633","src/services/artisanalSiteService.ts:160","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:111","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:81","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:633 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-notes","SITE","notes","SAISIE_METIER","Création et modification","Notes et observations","Sans id explicite ; label englobant","Facultatif","p_site.notes","snp_save_artisanal_site","artisanal_sites.notes","","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:719","src/services/artisanalSiteService.ts:65","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:111","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:86","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:719 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-manager.fullName","SITE","manager.fullName","SAISIE_METIER","Création et modification","Responsable du site — Nom complet","Sans id explicite ; label englobant dans chaque carte responsable","Requis","p_assignments[role=site_manager].full_name","snp_save_artisanal_site","artisanal_site_assignments.full_name","Relation site_id + role=site_manager; UPSERT sur (site_id,role).","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:694","src/services/artisanalSiteService.ts:163","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:126","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:83","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:694 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-manager.phone","SITE","manager.phone","SAISIE_METIER","Création et modification","Responsable du site — Téléphone","Sans id explicite ; label englobant dans chaque carte responsable","Requis","p_assignments[role=site_manager].phone","snp_save_artisanal_site","artisanal_site_assignments.phone","Relation site_id + role=site_manager; UPSERT sur (site_id,role).","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:699","src/services/artisanalSiteService.ts:163","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:126","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:83","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:699 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-manager.email","SITE","manager.email","SAISIE_METIER","Création et modification","Responsable du site — Adresse e-mail","Sans id explicite ; label englobant dans chaque carte responsable","Facultatif ; e-mail","p_assignments[role=site_manager].email","snp_save_artisanal_site","artisanal_site_assignments.email","Relation site_id + role=site_manager; UPSERT sur (site_id,role).","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:703","src/services/artisanalSiteService.ts:163","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:126","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:83","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:703 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-collectionOfficer.fullName","SITE","collectionOfficer.fullName","SAISIE_METIER","Création et modification","Chargé de collecte — Nom complet","Sans id explicite ; label englobant dans chaque carte responsable","Requis","p_assignments[role=collection_officer].full_name","snp_save_artisanal_site","artisanal_site_assignments.full_name","Relation site_id + role=collection_officer; UPSERT sur (site_id,role).","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:694","src/services/artisanalSiteService.ts:163","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:126","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:83","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:694 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-collectionOfficer.phone","SITE","collectionOfficer.phone","SAISIE_METIER","Création et modification","Chargé de collecte — Téléphone","Sans id explicite ; label englobant dans chaque carte responsable","Requis","p_assignments[role=collection_officer].phone","snp_save_artisanal_site","artisanal_site_assignments.phone","Relation site_id + role=collection_officer; UPSERT sur (site_id,role).","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:699","src/services/artisanalSiteService.ts:163","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:126","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:83","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:699 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-collectionOfficer.email","SITE","collectionOfficer.email","SAISIE_METIER","Création et modification","Chargé de collecte — Adresse e-mail","Sans id explicite ; label englobant dans chaque carte responsable","Facultatif ; e-mail","p_assignments[role=collection_officer].email","snp_save_artisanal_site","artisanal_site_assignments.email","Relation site_id + role=collection_officer; UPSERT sur (site_id,role).","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:703","src/services/artisanalSiteService.ts:163","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:126","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:83","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:703 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-aea.number","SITE","aea.number","SAISIE_METIER","Site formalisé uniquement","Numéro de l’AEA","Sans id explicite ; label englobant","Requis pour site formalisé ; absent du payload non formalisé","p_site.aea_number","snp_save_artisanal_site","artisanal_sites.aea_number","trim ; longueur 1 à 120","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:504","src/services/artisanalSiteService.ts:156","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:111","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:94","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:504 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-aea.issuedOn","SITE","aea.issuedOn","SAISIE_METIER","Site formalisé uniquement","Date d’émission","Sans id explicite ; label englobant","Requis pour site formalisé ; absent du payload non formalisé","p_site.aea_issued_on","snp_save_artisanal_site","artisanal_sites.aea_issued_on","Date ISO ; validation AEA existante.","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:508","src/services/artisanalSiteService.ts:156","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:111","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:94","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:508 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-aea.durationMonths","SITE","aea.durationMonths","SAISIE_METIER","Site formalisé uniquement","Durée de validité (mois)","Sans id explicite ; label englobant","Requis pour site formalisé ; absent du payload non formalisé","p_site.aea_duration_months","snp_save_artisanal_site","artisanal_sites.aea_duration_months","Nombre entier de mois, 1 à 1200 ; date d’expiration calculée, pas saisie.","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:512","src/services/artisanalSiteService.ts:157","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:111","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:94","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:512 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-aeaFile","SITE","aeaFile","FICHIER","Site formalisé uniquement","Justificatif AEA","aea-file","Justificatif nouveau ou déjà rattaché requis","saveSite(input,aeaFile) puis p_site.aea_document_path/name","siteAeaDocumentService.upload puis snp_save_artisanal_site","storage.objects[artisanal-site-aea] + artisanal_sites.aea_document_path / aea_document_name","PDF/JPEG/PNG <= 10 Mo ; dépôt avant RPC ; suppression de brouillon si sauvegarde échoue selon protection serveur.","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:522","src/services/artisanalSiteService.ts:147","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:111","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:95","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:522 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-photos","SITE","photos","FICHIER","Création et modification","Photos du site","Sans id explicite ; label englobant","Facultatif ; contrôles de format si renseigné","p_site.photos[]","uploadSitePhoto puis snp_save_artisanal_site","artisanal_sites.photos ; Storage ou repli data URL dans sitePhotoService","Sélection multiple, compression ; compteur MAX_SITE_PHOTOS. Voir SITE-DOC-007 pour les erreurs de dépôt/lecture.","RESTITUE_SOUS_RESERVE_LECTURE","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:669","src/services/artisanalSiteService.ts:161","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:111","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:85","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:669 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-ARTISAN-type_personne","ARTISAN","type_personne","SAISIE_METIER","Branches physique/morale","Qualité juridique","name=type-personne","Requis ; figé en édition","p_dossier.type_personne","artisanDossierPayload puis snp_save_artisan_dossier","snp_artisans_miniers.type_personne","Seule la branche juridique active est transmise ; les champs de l’autre branche ne sont pas envoyés.","RESTITUE_STATIQUEMENT","","src/components/artisan/ArtisanDossierFields.tsx:350","src/lib/artisanDossier.ts:274","supabase/migrations/20260906111030_refonte_dossier_artisan.sql:221","src/components/artisan/ArtisanDossierSummary.tsx:89","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/components/artisan/ArtisanDossierFields.tsx:350 (texte identique)","56f6b9d1e2ed8f1664c363cd5a32cdb99b820a2afd8165a61caa6cc311ddf9ba","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-ARTISAN-type_artisan","ARTISAN","type_artisan","SAISIE_METIER","Branches physique/morale","Rôle dans la filière","name=type-artisan ; role-{valeur}","Requis ; transition confirmée en édition","p_dossier.type_artisan","artisanDossierPayload puis snp_save_artisan_dossier","snp_artisans_miniers.type_artisan","Seule la branche juridique active est transmise ; les champs de l’autre branche ne sont pas envoyés.","RESTITUE_STATIQUEMENT","","src/components/artisan/ArtisanDossierFields.tsx:381","src/lib/artisanDossier.ts:275","supabase/migrations/20260906111030_refonte_dossier_artisan.sql:221","src/components/artisan/ArtisanDossierSummary.tsx:105","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/components/artisan/ArtisanDossierFields.tsx:381 (texte identique)","56f6b9d1e2ed8f1664c363cd5a32cdb99b820a2afd8165a61caa6cc311ddf9ba","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-ARTISAN-pays","ARTISAN","pays","SAISIE_METIER","Branches physique/morale","Pays","pays","Requis","p_dossier.pays","artisanDossierPayload puis snp_save_artisan_dossier","snp_artisans_miniers.pays","Seule la branche juridique active est transmise ; les champs de l’autre branche ne sont pas envoyés.","RESTITUE_STATIQUEMENT","","src/components/artisan/ArtisanDossierFields.tsx:221","src/lib/artisanDossier.ts:276","supabase/migrations/20260906111030_refonte_dossier_artisan.sql:221","src/components/artisan/ArtisanDossierSummary.tsx:149","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/components/artisan/ArtisanDossierFields.tsx:221 (texte identique)","56f6b9d1e2ed8f1664c363cd5a32cdb99b820a2afd8165a61caa6cc311ddf9ba","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-ARTISAN-region","ARTISAN","region","SAISIE_METIER","Branches physique/morale","Région","region","Requis","p_dossier.region","artisanDossierPayload puis snp_save_artisan_dossier","snp_artisans_miniers.region","Seule la branche juridique active est transmise ; les champs de l’autre branche ne sont pas envoyés.","RESTITUE_STATIQUEMENT","","src/components/artisan/ArtisanDossierFields.tsx:222","src/lib/artisanDossier.ts:277","supabase/migrations/20260906111030_refonte_dossier_artisan.sql:221","src/components/artisan/ArtisanDossierSummary.tsx:150","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/components/artisan/ArtisanDossierFields.tsx:222 (texte identique)","56f6b9d1e2ed8f1664c363cd5a32cdb99b820a2afd8165a61caa6cc311ddf9ba","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-ARTISAN-commune","ARTISAN","commune","SAISIE_METIER","Branches physique/morale","Commune","commune","Requis","p_dossier.commune","artisanDossierPayload puis snp_save_artisan_dossier","snp_artisans_miniers.commune","Seule la branche juridique active est transmise ; les champs de l’autre branche ne sont pas envoyés.","RESTITUE_STATIQUEMENT","","src/components/artisan/ArtisanDossierFields.tsx:223","src/lib/artisanDossier.ts:278","supabase/migrations/20260906111030_refonte_dossier_artisan.sql:221","src/components/artisan/ArtisanDossierSummary.tsx:151","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/components/artisan/ArtisanDossierFields.tsx:223 (texte identique)","56f6b9d1e2ed8f1664c363cd5a32cdb99b820a2afd8165a61caa6cc311ddf9ba","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-ARTISAN-adresse","ARTISAN","adresse","SAISIE_METIER","Branches physique/morale","Adresse du lieu d’exercice","adresse","Facultatif","p_dossier.adresse","artisanDossierPayload puis snp_save_artisan_dossier","snp_artisans_miniers.adresse","Seule la branche juridique active est transmise ; les champs de l’autre branche ne sont pas envoyés.","RESTITUE_STATIQUEMENT","","src/components/artisan/ArtisanDossierFields.tsx:587","src/lib/artisanDossier.ts:279","supabase/migrations/20260906111030_refonte_dossier_artisan.sql:221","src/components/artisan/ArtisanDossierSummary.tsx:152","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/components/artisan/ArtisanDossierFields.tsx:587 (texte identique)","56f6b9d1e2ed8f1664c363cd5a32cdb99b820a2afd8165a61caa6cc311ddf9ba","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-ARTISAN-telephone","ARTISAN","telephone","SAISIE_METIER","Branches physique/morale","Téléphone","telephone","Requis","p_dossier.telephone","artisanDossierPayload puis snp_save_artisan_dossier","snp_artisans_miniers.telephone","Seule la branche juridique active est transmise ; les champs de l’autre branche ne sont pas envoyés.","RESTITUE_STATIQUEMENT","","src/components/artisan/ArtisanDossierFields.tsx:181","src/lib/artisanDossier.ts:280","supabase/migrations/20260906111030_refonte_dossier_artisan.sql:221","src/components/artisan/ArtisanDossierSummary.tsx:145","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/components/artisan/ArtisanDossierFields.tsx:181 (texte identique)","56f6b9d1e2ed8f1664c363cd5a32cdb99b820a2afd8165a61caa6cc311ddf9ba","07ffc71ab9e1320df845694736a3f5af88141431"
