"id","portail","module","route","type","libelle","source","composants","actions","permissions","politique_registre","defauts","responsable","exigence_design","methode","revue_statique","statut","test_ui","preuve_ui","baseline","version_source"
"ACT-08f48d117d2d","admin | collector | comptoir | dgmg | owner | sonasp","artisan-minier","/artisan-minier/:id | /artisan-minier/cartes/expirations | /artisan-minier/cartes/suivi | /artisan-minier/cartes/validation","ACTION_JSX","{item.label}","src/components/artisan/AffiliationDossier.tsx:548","src/components/artisan/AffiliationDossier.tsx","{() => setTab(item.id)}","src/components/artisan/AffiliationDossier.tsx:74 hasSensitiveCapability( user, CAPABILITIES.ARTISAN_CARDS_MANAGE, ) | src/components/artisan/AffiliationDossier.tsx:78 hasSensitiveCapability( user, CAPABILITIES.ARTISAN_MEMBERSHIP_MANAGE, ) | src/components/artisan/AffiliationDossier.tsx:82 hasSensitiveCapability( user, CAPABILITIES.ARTISAN_MEMBERSHIP_CONFIRM, ) | src/components/artisan/AffiliationDossier.tsx:86 hasSensitiveCapability( user, CAPABILITIES.ARTISAN_CARDS_ACTIVATE, )","Hérite du contexte route candidat; conditions internes à relire; serveur non testé","NON_INSPECTE_EN_UI","Lot artisans et affiliations","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-098a05a0835e","CONSOMMATEUR_NON_RESOLU","TRANSVERSE_OU_ORPHELIN_A_QUALIFIER","","ACTION_JSX","Suivi des cartes","src/pages/artisan-minier/CarteValidation.tsx:178","src/pages/artisan-minier/CarteValidation.tsx","{() => navigate('/artisan-minier/cartes/suivi')}","src/pages/artisan-minier/CarteValidation.tsx:64 hasSensitiveCapability(user, CAPABILITIES.ARTISAN_CARDS_MANAGE)","Aucune association statique résolue; conserver dans le périmètre de qualification","NON_INSPECTE_EN_UI","Lot partagé : propriétaire à affecter par orchestrateur","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-09be8306c1cc","admin | dgmg | owner","artisan-minier","/artisan-minier/collecteurs/:id/modifier | /artisan-minier/collecteurs/nouveau","ACTION_JSX","Retour à la liste","src/pages/collector/CollectorForm.tsx:872","src/pages/collector/CollectorForm.tsx","","src/pages/collector/CollectorForm.tsx:829 canManageMiningRegistry(user)","Hérite du contexte route candidat; conditions internes à relire; serveur non testé","NON_INSPECTE_EN_UI","Lot artisans et affiliations","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-0a07ef0475fe","admin | owner | sonasp","artisan-minier","/artisan-minier/:artisanId/infractions/:infractionId/modifier | /artisan-minier/:artisanId/infractions/nouvelle","ACTION_JSX","Annuler","src/pages/artisan-minier/InfractionForm.tsx:567","src/pages/artisan-minier/InfractionForm.tsx","{() => navigate(retour)}","","Hérite du contexte route candidat; conditions internes à relire; serveur non testé","NON_INSPECTE_EN_UI","Lot artisans et affiliations","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-0bc4ddec0570","admin | collector | comptoir | dgmg | owner | sonasp","artisan_gold_market","/collecte/ventes | /collecte/ventes/nouvelle","ACTION_JSX","Relancer les notifications","src/pages/collector/CollectionSalesPage.tsx:412","src/pages/collector/CollectionSalesPage.tsx","{async () => { setBusy(true); setError(""""); try { await collectorService.dispatchNotifications(s.id); await load(); } catch (e) { setError( e instanceof Error ? e.message : ""Envoi indisponible."", ); } finally { setBusy(false); } }}","src/pages/collector/CollectionSalesPage.tsx:250 isCollectorScopedUser(user)","Hérite du contexte route candidat; conditions internes à relire; serveur non testé","NON_INSPECTE_EN_UI","Lot marché artisanal et paiements","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-0be752f31c3b","admin | collector | comptoir | dgmg | owner | sonasp","artisan-minier","/artisan-minier/:id","ACTION_JSX","Nouvelle vente","src/pages/artisan-minier/ArtisanMinierDetails.tsx:387","src/pages/artisan-minier/ArtisanMinierDetails.tsx","{() => navigate('/artisan-minier/ventes-or/nouvelle')}","src/pages/artisan-minier/ArtisanMinierDetails.tsx:114 isCollectorScopedUser(user)","Hérite du contexte route candidat; conditions internes à relire; serveur non testé","NON_INSPECTE_EN_UI","Lot artisans et affiliations","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-0c72b605db0e","admin | owner | sonasp","artisan-minier","/artisan-minier","ACTION_JSX","Appliquer","src/pages/artisan-minier/ArtisanMinierDashboard.tsx:340","src/pages/artisan-minier/ArtisanMinierDashboard.tsx","{() => setFiltresOuverts(false)}","","Hérite du contexte route candidat; conditions internes à relire; serveur non testé","NON_INSPECTE_EN_UI","Lot artisans et affiliations","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-124ca749066a","admin | owner | sonasp","artisan-minier","/artisan-minier/cartes/expirations | /artisan-minier/cartes/suivi | /artisan-minier/cartes/validation","ACTION_JSX","Actualiser","src/pages/artisan-minier/AffiliationsCartes.tsx:394","src/pages/artisan-minier/AffiliationsCartes.tsx","{() => void load()}","src/pages/artisan-minier/AffiliationsCartes.tsx:121 hasSensitiveCapability( user, CAPABILITIES.PLATFORM_SETTINGS_MANAGE, ) | src/pages/artisan-minier/AffiliationsCartes.tsx:125 hasSensitiveCapability( user, CAPABILITIES.ARTISAN_MEMBERSHIP_MANAGE, ) | src/pages/artisan-minier/AffiliationsCartes.tsx:131 hasSensitiveCapability(user, CAPABILITIES.ARTISAN_CARDS_MANAGE)","Hérite du contexte route candidat; conditions internes à relire; serveur non testé","NON_INSPECTE_EN_UI","Lot artisans et affiliations","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-12b5eda03ecd","admin | collector | comptoir | dgmg | owner | sonasp","artisan-minier","/artisan-minier/:id | /artisan-minier/cartes/expirations | /artisan-minier/cartes/suivi | /artisan-minier/cartes/validation","ACTION_JSX","Enregistrer la décision","src/components/artisan/AffiliationDossier.tsx:820","src/components/artisan/AffiliationDossier.tsx","","src/components/artisan/AffiliationDossier.tsx:74 hasSensitiveCapability( user, CAPABILITIES.ARTISAN_CARDS_MANAGE, ) | src/components/artisan/AffiliationDossier.tsx:78 hasSensitiveCapability( user, CAPABILITIES.ARTISAN_MEMBERSHIP_MANAGE, ) | src/components/artisan/AffiliationDossier.tsx:82 hasSensitiveCapability( user, CAPABILITIES.ARTISAN_MEMBERSHIP_CONFIRM, ) | src/components/artisan/AffiliationDossier.tsx:86 hasSensitiveCapability( user, CAPABILITIES.ARTISAN_CARDS_ACTIVATE, )","Hérite du contexte route candidat; conditions internes à relire; serveur non testé","NON_INSPECTE_EN_UI","Lot artisans et affiliations","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-142b602a1f3e","comptoir | owner","portal-comptoir","/portail-comptoir","ACTION_JSX","Link","src/pages/comptoir/ComptoirPortalPage.tsx:222","src/pages/comptoir/ComptoirPortalPage.tsx","","","Hérite du contexte route candidat; conditions internes à relire; serveur non testé","NON_INSPECTE_EN_UI","Lot portal-comptoir","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-143237d1d45c","admin | collector | comptoir | owner | sonasp","artisan_gold_market","/artisan-minier/paiements/historique/:paiementId","ACTION_JSX","{artisanPaymentSaleReference(dossier)}","src/pages/artisan-minier/PaiementDetails.tsx:312","src/pages/artisan-minier/PaiementDetails.tsx","{() => navigate(`/artisan-minier/ventes-or/${dossier.vente_or_id}`)}","src/pages/artisan-minier/PaiementDetails.tsx:181 isCollectorScopedUser(user) | src/pages/artisan-minier/PaiementDetails.tsx:183 hasSensitiveCapability(user, CAPABILITIES.COLLECTOR_PAYMENTS_EXECUTE) | src/pages/artisan-minier/PaiementDetails.tsx:184 hasSensitiveCapability(user, CAPABILITIES.COMPTOIR_PAYMENTS_EXECUTE) | src/pages/artisan-minier/PaiementDetails.tsx:184 hasSensitiveCapability(user, CAPABILITIES.FINANCE_EXECUTE) | src/pages/artisan-minier/PaiementDetails.tsx:185 hasSensitiveCapability(user, CAPABILITIES.COMPTOIR_PAYMENTS_RECONCILE) | src/pages/artisan-minier/PaiementDetails.tsx:186 hasSensitiveCapability(user, CAPABILITIES.FINANCE_RECONCILE)","Hérite du contexte route candidat; conditions internes à relire; serveur non testé","NON_INSPECTE_EN_UI","Lot marché artisanal et paiements","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-161288d7c90b","admin | collector | comptoir | dgi | owner | sonasp","artisan_gold_market","/artisan-minier/ventes-or/:id","ACTION_JSX","Ouvrir la fiche artisan","src/pages/artisan-minier/VenteOrDetails.tsx:413","src/pages/artisan-minier/VenteOrDetails.tsx","{() => navigate(`/artisan-minier/${artisan.id}`)}","src/pages/artisan-minier/VenteOrDetails.tsx:115 isCollectorScopedUser(user)","Hérite du contexte route candidat; conditions internes à relire; serveur non testé","NON_INSPECTE_EN_UI","Lot marché artisanal et paiements","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-16b8435a463f","admin | owner | sonasp","artisan-minier","/artisan-minier/cartes/expirations | /artisan-minier/cartes/suivi | /artisan-minier/cartes/validation","ACTION_JSX","Réessayer","src/pages/artisan-minier/AffiliationsCartes.tsx:1124","src/pages/artisan-minier/AffiliationsCartes.tsx","{() => setAttempt((value) => value + 1)}","src/pages/artisan-minier/AffiliationsCartes.tsx:121 hasSensitiveCapability( user, CAPABILITIES.PLATFORM_SETTINGS_MANAGE, ) | src/pages/artisan-minier/AffiliationsCartes.tsx:125 hasSensitiveCapability( user, CAPABILITIES.ARTISAN_MEMBERSHIP_MANAGE, ) | src/pages/artisan-minier/AffiliationsCartes.tsx:131 hasSensitiveCapability(user, CAPABILITIES.ARTISAN_CARDS_MANAGE)","Hérite du contexte route candidat; conditions internes à relire; serveur non testé","NON_INSPECTE_EN_UI","Lot artisans et affiliations","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-1772a20e7720","admin | comptoir | owner | sonasp","artisan_gold_market","/artisan-minier/rapports","ACTION_JSX","Taxes et royalties","src/pages/artisan-minier/CentreRapportsAnalyse.tsx:121","src/pages/artisan-minier/CentreRapportsAnalyse.tsx","{() => navigate('/artisan-minier/rapports/taxes')}","","Hérite du contexte route candidat; conditions internes à relire; serveur non testé","NON_INSPECTE_EN_UI","Lot marché artisanal et paiements","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-192c125a97f5","admin | dgmg | owner","artisan-minier","/artisan-minier/comptoirs/:id | /artisan-minier/comptoirs/:id/modifier | /artisan-minier/comptoirs/nouveau","ACTION_JSX","Joindre","src/pages/collector/ComptoirForm.tsx:184","src/pages/collector/ComptoirForm.tsx","{() => input.current?.click()}","src/pages/collector/ComptoirForm.tsx:938 canManageMiningRegistry(user)","Hérite du contexte route candidat; conditions internes à relire; serveur non testé","NON_INSPECTE_EN_UI","Lot artisans et affiliations","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
