"id_lot","fichiers_regle","ids_inventaire_associes","nombre_lignes_associees","portails_candidats","methode","preuve_regle","recette_ui_base"
"COM-F01","src/lib/comptoirDossier.ts | src/pages/collector/ComptoirForm.tsx","ACT-01b289f2161c | ACT-05c0ede7f20a | ACT-08d2c90bd224 | ACT-192c125a97f5 | ACT-274050646c73 | ACT-2e0be5dd4606 | ACT-2f85d548d992 | ACT-7a85a5fbd1e6 | ACT-8976b4e3f500 | ACT-b51aedc35f8d | ACT-be5707672942 | ACT-f906f93b5c38 | ACT-fa6a4202fc1e | FRM-046d5ec4e7ad | FRM-66687f7913bb | FRM-9f2255a5da29","16","admin | dgmg | owner","CORRESPONDANCE_FICHIERS_SOURCES; pas une revue de chaque action associee","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"COM-S01","src/pages/collector/ComptoirForm.tsx | src/services/comptoirService.ts","ACT-01b289f2161c | ACT-05c0ede7f20a | ACT-08d2c90bd224 | ACT-192c125a97f5 | ACT-274050646c73 | ACT-2e0be5dd4606 | ACT-2f85d548d992 | ACT-7a85a5fbd1e6 | ACT-8976b4e3f500 | ACT-b51aedc35f8d | ACT-be5707672942 | ACT-f906f93b5c38 | ACT-fa6a4202fc1e | FRM-046d5ec4e7ad | FRM-66687f7913bb | FRM-9f2255a5da29","16","admin | dgmg | owner","CORRESPONDANCE_FICHIERS_SOURCES; pas une revue de chaque action associee","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"AFF-A01","src/pages/artisan-minier/AffiliationsCartes.tsx","ACT-124ca749066a | ACT-16b8435a463f | ACT-257abfc8a323 | ACT-26b0bca7f63e | ACT-2cfa8539eafa | ACT-2f69022fe5af | ACT-5c1fa3829dfe | ACT-6aef2a5ae7d6 | ACT-73d554e03a98 | ACT-7a08e3bca1d4 | ACT-a53bc923cbf2 | ACT-a8f5b7d2a172 | ACT-aaea3bdc7e7b | ACT-ae548452a3bb | ACT-c3c13117b89e | ACT-d713f57882af | ACT-dd55bf75ebf6 | ACT-dd6ff371f33f | ACT-dd81195870a7 | ACT-e1981e2c3700 | ACT-f4263d3ee30b | CMP-a3ce75542242 | FRM-ee54e0f7befc | MOD-7f7e1c4c1a91 | MOD-e0fb5e059a9b","25","admin | owner | sonasp","CORRESPONDANCE_FICHIERS_SOURCES; pas une revue de chaque action associee","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"AFF-F01","src/pages/artisan-minier/AffiliationsCartes.tsx | src/services/affiliationService.ts","ACT-124ca749066a | ACT-16b8435a463f | ACT-257abfc8a323 | ACT-26b0bca7f63e | ACT-2cfa8539eafa | ACT-2f69022fe5af | ACT-5c1fa3829dfe | ACT-6aef2a5ae7d6 | ACT-73d554e03a98 | ACT-7a08e3bca1d4 | ACT-a53bc923cbf2 | ACT-a8f5b7d2a172 | ACT-aaea3bdc7e7b | ACT-ae548452a3bb | ACT-c3c13117b89e | ACT-d713f57882af | ACT-dd55bf75ebf6 | ACT-dd6ff371f33f | ACT-dd81195870a7 | ACT-e1981e2c3700 | ACT-f4263d3ee30b | CMP-a3ce75542242 | FRM-ee54e0f7befc | MOD-7f7e1c4c1a91 | MOD-e0fb5e059a9b","25","admin | owner | sonasp","CORRESPONDANCE_FICHIERS_SOURCES; pas une revue de chaque action associee","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"AFF-F02","src/components/artisan/AffiliationPaymentPanel.tsx","ACT-5a5622b47fe6 | ACT-6c06d28958f4 | ACT-6cf1857335c7 | ACT-78326bd7aab5 | ACT-88c06694548d | ACT-cf3971be0c10 | ACT-dc3b99debc4b | ACT-dedb16b71924 | ACT-f8445a0f2bd1 | FRM-6be9f447941e | FRM-9c2e8ec9b00f | FRM-aac68ed247be | FRM-e8c760612161 | FRM-ef7490f3098d","14","admin | collector | comptoir | dgmg | owner | sonasp","CORRESPONDANCE_FICHIERS_SOURCES; pas une revue de chaque action associee","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"AFF-F03","src/components/artisan/AffiliationPaymentPanel.tsx","ACT-5a5622b47fe6 | ACT-6c06d28958f4 | ACT-6cf1857335c7 | ACT-78326bd7aab5 | ACT-88c06694548d | ACT-cf3971be0c10 | ACT-dc3b99debc4b | ACT-dedb16b71924 | ACT-f8445a0f2bd1 | FRM-6be9f447941e | FRM-9c2e8ec9b00f | FRM-aac68ed247be | FRM-e8c760612161 | FRM-ef7490f3098d","14","admin | collector | comptoir | dgmg | owner | sonasp","CORRESPONDANCE_FICHIERS_SOURCES; pas une revue de chaque action associee","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"AFF-A02","src/components/artisan/AffiliationDossier.tsx","ACT-08f48d117d2d | ACT-12b5eda03ecd | ACT-1cbc3b98eb1b | ACT-3b474d4aa3f3 | ACT-60a9864b250d | ACT-65a92580337a | ACT-851cfc986d4d | ACT-8e94a1933cc8 | ACT-963fa19fae83 | ACT-a4c3dd2e5baf | ACT-b63ccc18b703 | ACT-c13f87bdbf36 | ACT-cdcfc5c923fd | ACT-e12a0f032e1a | ACT-e6b04a576576 | ACT-f43d35a53ecd | FRM-7a807094d7e6","17","admin | collector | comptoir | dgmg | owner | sonasp","CORRESPONDANCE_FICHIERS_SOURCES; pas une revue de chaque action associee","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"AFF-F04","src/components/artisan/AffiliationPaymentPanel.tsx","ACT-5a5622b47fe6 | ACT-6c06d28958f4 | ACT-6cf1857335c7 | ACT-78326bd7aab5 | ACT-88c06694548d | ACT-cf3971be0c10 | ACT-dc3b99debc4b | ACT-dedb16b71924 | ACT-f8445a0f2bd1 | FRM-6be9f447941e | FRM-9c2e8ec9b00f | FRM-aac68ed247be | FRM-e8c760612161 | FRM-ef7490f3098d","14","admin | collector | comptoir | dgmg | owner | sonasp","CORRESPONDANCE_FICHIERS_SOURCES; pas une revue de chaque action associee","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"AFF-F05","src/components/artisan/AffiliationDossier.tsx","ACT-08f48d117d2d | ACT-12b5eda03ecd | ACT-1cbc3b98eb1b | ACT-3b474d4aa3f3 | ACT-60a9864b250d | ACT-65a92580337a | ACT-851cfc986d4d | ACT-8e94a1933cc8 | ACT-963fa19fae83 | ACT-a4c3dd2e5baf | ACT-b63ccc18b703 | ACT-c13f87bdbf36 | ACT-cdcfc5c923fd | ACT-e12a0f032e1a | ACT-e6b04a576576 | ACT-f43d35a53ecd | FRM-7a807094d7e6","17","admin | collector | comptoir | dgmg | owner | sonasp","CORRESPONDANCE_FICHIERS_SOURCES; pas une revue de chaque action associee","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"AFF-A03","src/components/artisan/AffiliationDossier.tsx","ACT-08f48d117d2d | ACT-12b5eda03ecd | ACT-1cbc3b98eb1b | ACT-3b474d4aa3f3 | ACT-60a9864b250d | ACT-65a92580337a | ACT-851cfc986d4d | ACT-8e94a1933cc8 | ACT-963fa19fae83 | ACT-a4c3dd2e5baf | ACT-b63ccc18b703 | ACT-c13f87bdbf36 | ACT-cdcfc5c923fd | ACT-e12a0f032e1a | ACT-e6b04a576576 | ACT-f43d35a53ecd | FRM-7a807094d7e6","17","admin | collector | comptoir | dgmg | owner | sonasp","CORRESPONDANCE_FICHIERS_SOURCES; pas une revue de chaque action associee","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"OPS-CAND01","src/PrivateApp.tsx","ECR-00f6da2c533c | ECR-01f2725fa489 | ECR-08382d506700 | ECR-0cdb411789a6 | ECR-0e813dbd9294 | ECR-1233e46effe6 | ECR-1762936f8aec | ECR-1dcaa2fdf139 | ECR-1e77851487b8 | ECR-2c9bb1f48f6a | ECR-2dc6a8d8d23a | ECR-30de0e786835 | ECR-3fb461cca8ae | ECR-439ea720ad40 | ECR-46584f345d54 | ECR-47359061c0a4 | ECR-4c5d3c783124 | ECR-56f132093507 | ECR-5c03cd8d1445 | ECR-5fa05385b496 | ECR-69ce3b828c90 | ECR-6d3d3720e08c | ECR-7826fa22914f | ECR-80df7f001976 | ECR-9303df3d4d44 | ECR-93eef5843659 | ECR-a0e16fa02ff4 | ECR-a1903fae2d54 | ECR-a49722885e39 | ECR-b1b53750fe4a | ECR-b9056a6b82b8 | ECR-c516af07c6ef | ECR-c76ea0cb4831 | ECR-c860d1b76e23 | ECR-c986476416a6 | ECR-d1eab4a516e6 | ECR-d63f3748f377 | ECR-d7987b218bd4 | ECR-e4ffd18d8901 | ECR-e8de0b9b3561 | ECR-ef73675cf7d7 | ECR-f4823a238d5b | ECR-f7a1e4b837d7 | ECR-fc0058e62d5c | ECR-ffad663f93d2","45","admin | collector | comptoir | dgi | owner | sonasp | admin | collector | comptoir | dgmg | owner | sonasp | admin | collector | comptoir | owner | sonasp | admin | collector | owner | admin | comptoir | owner | sonasp | admin | dgmg | owner | admin | dgmg | owner | sonasp | admin | owner | sonasp | collector | owner | comptoir | owner","CORRESPONDANCE_FICHIERS_SOURCES; pas une revue de chaque action associee","DETECTION_NON_REVUE_COMPLETE","NON_EXECUTE"
