"id_lot","famille","nature","routes_ou_hote","composant","regles_et_champs_existants","ecriture","relecture","sources","niveau_preuve","recette_ui_base"
"COM-S01","Comptoir","SOUS_FORMULAIRE_DOCUMENTS","ComptoirDossierForm","DocumentSection","Logo,RCCM,IFU,autorisation d’achat,identité/photo du responsable,autre; archivage et preuve de dépôt","comptoirService.upload/removeDocument","Documents privés signés rechargés","src/services/comptoirService.ts:138 | src/pages/collector/ComptoirForm.tsx:503","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"AFF-A01","Affiliation","SELECTEUR_SANS_CREATION_IMMEDIATE","/artisan-minier/cartes/suivi","NewAffiliationDialog","Recherche titulaire actif; ouvre dossier existant; ne crée pas une carte au clic sélecteur","artisanMinierService.getAll lecture","AffiliationDossier","src/pages/artisan-minier/AffiliationsCartes.tsx:1047","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"AFF-F01","Affiliation","FORMULAIRE_BAREME","Onglet Barèmes adhésion","TariffsPanel","Libellé,rôle,montant,devise,durée,fuseau,seuil d’alerte","snp_configurer_adhesion_bareme","affiliationService.tariffs","src/pages/artisan-minier/AffiliationsCartes.tsx:1170 | src/services/affiliationService.ts:32","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"AFF-F02","Affiliation","FORMULAIRE_DROIT","Détail affiliation","AffiliationDuesForm","Barème,début,fin de période existants; préparation de l’instantané si absent","snp_etablir_adhesion_droit","snp_adhesion_droits et historique","src/components/artisan/AffiliationPaymentPanel.tsx:315","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"AFF-F03","Affiliation","FORMULAIRE_ENCAISSEMENT","Détail affiliation","AffiliationReceiptForm","Année dérivée début du droit; date de paiement; lieu; montant; mode; référence; preuve obligatoire","Edge de dépôt de preuve puis snp_enregistrer_adhesion_encaissement","snp_adhesion_encaissements et historique","src/components/artisan/AffiliationPaymentPanel.tsx:435","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"AFF-A02","Affiliation","ACTION_CONFIRMATION","Détail affiliation","AffiliationDossier","Confirmation encaissement par habilitation distincte; tente la génération une fois les droits soldés","snp_controler_adhesion_encaissement; affiliation-card-render","list/history/dues","src/components/artisan/AffiliationDossier.tsx:263","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"AFF-F04","Affiliation","SOUS_FORMULAIRES_DECISION_FINANCIERE","Détail droits","AffiliationPaymentPanel","Motif annulation/remboursement reçu ou annulation du droit selon son état","reviewReceipt/cancelDues","dues/history","src/components/artisan/AffiliationPaymentPanel.tsx:203 | :268","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"AFF-F05","Affiliation","SOUS_FORMULAIRE_REVISION","Détail affiliation décision","CardRevision","Motif de correction ou décision sur le statut existant; aucune nouvelle identité inventée","snp_corriger_carte_affiliation ou transition de carte","list/history","src/components/artisan/AffiliationDossier.tsx:651 | :744","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"AFF-A03","Affiliation","ACTIONS_METIER_DISTINCTES","Détail affiliation","AffiliationDossier","Validation documentaire; activation manuelle; renouvellement; génération/téléchargement séparés","carteProfessionnelleService.valider/renouveler; affiliationService.activate/render","list/history/dues et fichiers privés","src/components/artisan/AffiliationDossier.tsx:509 | :630 | :706","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"OPS-CAND01","Opérations connexes","FORMULAIRES_A_QUALIFIER","/collecte/ventes/nouvelle; ventes-or; paiements; infractions; cessions comptoirs","CollectionSalesPage;VenteOrForm;PaiementForm;InfractionForm;ComptoirSonaspSalesPage","Conserver toutes variantes dans extraits 02/05; pas de revue complète ici","Services correspondants encore à qualifier","Détails correspondants encore à qualifier","src/PrivateApp.tsx:330–628","DETECTION_NON_REVUE_COMPLETE","NON_EXECUTE"
